Generation,localDEV Weight,Intervention Threshold,Probability(Intervention = Success),GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue
0,0.048377681910915356,0.2278992072460986,0.6731626638034945,0.1819646798794822,0.00487583005073543,7.855037611379096e-305
1,0.029373011100297185,0.18931808847935264,0.7510410424229816,0.12908380309540513,0.003208370272462543,0.0
2,0.01926049664752535,0.2330756343193381,0.06043305489503746,0.08816109060135834,0.0025339795743071613,3.263817468497698e-265
3,0.02081142967775168,0.24759325461473705,0.8000254009613554,0.1025868970923656,0.002809670530761264,7.134244478421276e-292
4,0.031205746911210502,0.1303071983975922,0.889504536288621,0.13858049569556177,0.0033089031656893305,0.0
5,0.013349525267671719,0.23498338942445876,0.44603327153766265,0.06545730239839348,0.002107577926210941,8.877366733573344e-212
6,0.0461770821221782,0.24094615564931637,0.47713941980162383,0.1765089356314021,0.004488126868688708,0.0
7,0.010555880527954715,0.1297798367891583,0.814209585944181,0.056076113276556955,0.0020373434091306487,9.030071465025947e-167
8,0.014211448393234852,0.21938885308261674,0.3632295329949605,0.07171612077640382,0.0022365528369540175,1.3362672728090467e-225
9,0.03153685701804158,0.13995614090985065,0.7861317931216222,0.1346016168102877,0.0035705220097296516,0.0
10,0.021776485847000877,0.2411743960706296,0.4345453850508539,0.09883259013357137,0.002750027204380307,7.581205049239973e-283
11,0.01187081946508388,0.14014607213295452,0.9939130285501209,0.06147085441084453,0.0021695593974090906,1.3430623536514967e-176
12,0.030371200255608632,0.14427422126344633,0.8740101294152579,0.12969184851655285,0.0032282150467973217,0.0
13,0.02526271589858274,0.15092728998518604,0.6905191012295772,0.11480794596443658,0.0029957883512946775,0.0
14,0.02559193288423882,0.23976742760462863,0.6576453726127734,0.11782728858670159,0.002971292142675331,0.0
15,0.041501715640452186,0.10273965566514859,0.07061580412366052,0.1601414437325476,0.004203359766479554,0.0
16,0.02084032842817804,0.21045930109886946,0.0645747777210234,0.0934491169276277,0.0026876849607262885,7.064611262307135e-265
17,0.046829663276672207,0.1470091344555921,0.9776659628967351,0.17612826299860537,0.004373204432708691,0.0
18,0.02078952760812454,0.15637506590838107,0.0869776324883572,0.09043627544076105,0.0026805435238249045,1.6013362277027557e-249
19,0.04544573238423252,0.2453150439330187,0.9140609048135142,0.1709820017050024,0.0043181882914480885,0.0
20,0.03692427224226111,0.14754796865170516,0.38254864157793234,0.1484839476955625,0.003947608512841954,1.28628863516947e-309
21,0.04387179612507915,0.10773814407943488,0.7223752491807689,0.1713325486699893,0.004476966806162624,0.0
22,0.04605924713902659,0.23554309909703955,0.4041481232941492,0.17012730370336934,0.004670774884784267,1.789304459312881e-290
23,0.038549937781861325,0.14364119872181624,0.9697219185375197,0.16136138829695684,0.004235866124377781,0.0
24,0.024755689120321025,0.12473149172111347,0.06336327762609788,0.1074948921385433,0.002830818010293851,0.0
25,0.04513606026637787,0.10997761004805355,0.6921451578400769,0.17963516774599528,0.004691151156711098,0.0
26,0.04930768812042356,0.19897967962996257,0.6756471593363992,0.18329297487796659,0.004692036663741799,0.0
27,0.04896666445499028,0.14645420017155197,0.5269876974517608,0.18490083619626688,0.004828260056351241,0.0
28,0.018445753105267387,0.1683015810758925,0.7252821990704076,0.09017364435382817,0.0025688253887523214,6.052688228199154e-270
29,0.033724362510871596,0.15940305195627624,0.9277818825387916,0.14315144208542926,0.003534974110862791,0.0
30,0.03684919815048517,0.22310626322839072,0.6074403525076648,0.15069238624595446,0.0038712325654807474,0.0
31,0.027763395405964418,0.11653922286589061,0.5397261731965189,0.12076869539526984,0.0031543464052304166,0.0
32,0.02822031700134732,0.24906475077076637,0.7440262353325304,0.12910082955012184,0.003299202801152432,0.0
33,0.014699152798349414,0.10955860692119103,0.06992159748455881,0.07278217954924396,0.002385455176337671,1.8729692915653777e-204
34,0.040496775430845934,0.1728736490301208,0.7907799248806412,0.16211060423712698,0.004126381363168685,0.0
35,0.020470241417238074,0.10804251304275286,0.4142792957273297,0.09618024374131362,0.0026328004747984686,3.502905412952474e-292
36,0.0387214847302101,0.18447889383757665,0.055010519542747396,0.15326245188348997,0.003967257299790203,0.0
37,0.02707449186292099,0.14379204510841176,0.9866418578996864,0.12189521556654885,0.0031404528736930187,0.0
38,0.015708222844622935,0.1403680252846599,0.4877921657174795,0.0766208102832601,0.002212320092186719,7.862903438203118e-263
39,0.044267262688665196,0.10788084012518309,0.9512081660008457,0.17314121791656462,0.004478654121124892,0.0
40,0.03733311906416213,0.19195842945144642,0.376183815156205,0.15232331706497254,0.003728691342902217,0.0
41,0.025437089589693672,0.17738874236239593,0.973990947367164,0.11455833119721952,0.0028424313710921647,0.0
42,0.02862598642527444,0.21705739766709065,0.3220079773184095,0.12032349793070678,0.0032280425058251135,4.258285657801335e-304
43,0.024117509743629154,0.23043420329875106,0.6322172222415862,0.11145772058936396,0.0029015523019906885,0.0
44,0.013648994630358105,0.21237358793244054,0.5229454276573847,0.06903398080109859,0.0021335031803279276,1.1022701493858477e-229
45,0.04124379853608816,0.21788285687155987,0.03302681254068444,0.16049794504857756,0.004145505936515012,0.0
46,0.03481727719917935,0.1833708615655039,0.35046242683351053,0.14318629230496505,0.0035760782921802118,0.0
47,0.022978518215785178,0.13385817998596472,0.5207889750827879,0.1110071273108154,0.002909487173822269,0.0
48,0.04630176897759491,0.10223534923420789,0.21982203093091798,0.17455580020428996,0.00475985592845692,2.0046198538023182e-294
49,0.01403233380578209,0.20008813794386332,0.6012103453313542,0.06915044089438893,0.002157211236896653,1.841403338914174e-225
50,0.029638122068736554,0.13224346167325218,0.9643157848486383,0.1297962880446283,0.003298668083888493,0.0
51,0.016977153438334176,0.11783747826018864,0.4603782041383102,0.08141504045517384,0.0023983330804700836,1.373268041481169e-252
52,0.013730505423396109,0.19722034069197308,0.39079007807082156,0.07072654389579075,0.002376873921048037,1.4451866929948554e-194
53,0.033206823680413645,0.24148422958553442,0.06790775526016157,0.14202224797832727,0.00379873579759805,6.423955465706493e-306
54,0.04620388003855492,0.15202557700797892,0.11824937630128902,0.17278350187808947,0.0043873441520333595,0.0
55,0.011350782387038835,0.23754509689798098,0.69437294298956,0.0588525947823911,0.0021349271836273425,2.8022831660287685e-167
56,0.026781940430492243,0.15660384071684896,0.9831501293916715,0.12575263584782229,0.0031206407361267507,0.0
57,0.04237662417076111,0.12139506970496049,0.2855284362777383,0.1638805893849185,0.0041143806913706326,0.0
58,0.02652530595130754,0.22944001749129797,0.29842484861170926,0.11763670036531092,0.0031622696707267212,6.802563694357886e-303
59,0.046443356307875217,0.14292951731906994,0.7118077242622985,0.17716385431583803,0.004629174615806566,0.0
60,0.017218058850527837,0.12088118728334138,0.8027704697640096,0.0856427695623201,0.002533317725614136,1.5794013252368713e-250
61,0.04305191507854777,0.23201802027416024,0.9662262925023767,0.17029063661289578,0.0045218338242688505,2.27511385031645e-310
62,0.03917878552400989,0.11321035089805409,0.6599419925231874,0.15378476290519238,0.003863352708517425,0.0
63,0.02618447723398789,0.16963344205670658,0.15899056426165148,0.11457109777811302,0.0030846893281044675,5.93325597757534e-302
64,0.036907364190888206,0.1634557734489199,0.6864531302014802,0.1537277397452401,0.0038737993981355734,0.0
65,0.03912489225943171,0.15775811602112916,0.8200780728366174,0.15498087857840712,0.003819891335148369,0.0
66,0.01957750119790813,0.22954799029343761,0.4283816979440005,0.09271590779951758,0.002543255859228703,5.6090960317587865e-291
67,0.02675162129374605,0.18187209784562092,0.1531363395650823,0.10746560977163054,0.002874876850112905,7.971674096697169e-306
68,0.02857110788542498,0.12765327577958652,0.32627145962542736,0.12441851904531831,0.003287518278057518,0.0
69,0.020249651264612974,0.2080712445656736,0.0415122545373824,0.09351792295781107,0.002735191525101244,3.3320175735770383e-256
70,0.02573594206187601,0.17096692680729436,0.8838740644181359,0.11192036138120844,0.0030491913305061846,6.092942794182821e-295
71,0.02796554553945583,0.23654022645001962,0.1686970869612328,0.12001369110516388,0.0031378059744031957,0.0
72,0.020941307334001315,0.1996390524759017,0.9473178934504357,0.0985735006535988,0.0026286369228619563,9.261331680765722e-308
73,0.010846630982239385,0.12364789665949592,0.5990077248886779,0.05592375726328041,0.0020050421346430357,3.377159891070784e-171
74,0.026483912903133865,0.1254511978026745,0.24425723030622554,0.11474636149842922,0.003045116075415623,0.0
75,0.010164021716600566,0.12309654196901479,0.39397719892446526,0.054290237589650146,0.002061513360341053,7.596261637455181e-153
76,0.028302767477982146,0.16315463778337172,0.6161640900967745,0.12455543144467944,0.003356738136361203,2.240755768160816e-301
77,0.01694080650953851,0.2218677981599661,0.7171122548749705,0.08414546893569176,0.0023234230204028186,3.389219650521782e-287
78,0.025145994315876816,0.1263944306122493,0.28179079166013493,0.11422606641621931,0.00293179312479928,0.0
79,0.02154394284890357,0.19619586170448955,0.07438528086745626,0.09297772989123007,0.002768721607424888,3.128162698362678e-247
80,0.015232136317464078,0.1622263718468296,0.7690412802960896,0.07675438102539477,0.0023816529430395737,7.304899904252685e-228
81,0.04059704649601494,0.1361981497223013,0.40183184851314385,0.16172990928043815,0.004185007313396005,0.0
82,0.03953722457257655,0.23327640511363998,0.9688264882440134,0.1595167045871252,0.004055113899436691,0.0
83,0.019495109347156925,0.11087704233950985,0.7978917173101241,0.0942271865629341,0.0025758156135092043,5.631951993152227e-293
84,0.038244337623800105,0.23408669686345962,0.8871344884326361,0.158411982811022,0.003829772909994717,0.0
85,0.03870050008666476,0.1335726382970305,0.3771774124097359,0.15443044503055436,0.0038910247630945033,0.0
86,0.02375791729896643,0.24144797459301992,0.506515626768495,0.10555225394482616,0.002825602611259854,2.0518644438028728e-305
87,0.010825260620878959,0.11963124497293072,0.053361109638109104,0.051724791814549656,0.0019662304955399674,1.6127093562078024e-152
88,0.024534509916974465,0.14140271268877003,0.7204921496907358,0.11191514065920903,0.0028676638931774906,0.0
89,0.038506709562093254,0.16235485302265212,0.3004574933493345,0.15502004821432838,0.004050961375212118,0.0
90,0.024436232289337806,0.19144286201621408,0.3672786024932648,0.10768478608036046,0.0028313771402365805,0.0
91,0.022108260953308066,0.21292134408556027,0.3405837131276901,0.09801621095708167,0.0027757437855126794,3.88495584518575e-273
92,0.039915804605373986,0.11499453851510441,0.05079645260381744,0.15605570380501935,0.004221329334610378,3.690735450892838e-299
93,0.04561455936705442,0.20315376289945103,0.9502211465404782,0.17538745098771893,0.0044563701767027526,0.0
94,0.026809498855228278,0.122651059559348,0.028359592907481336,0.11680842999861656,0.0032020404695656773,2.355212767943764e-291
95,0.013702132611373673,0.21382530950317025,0.7914160246981368,0.07209437821215292,0.002257847748196863,1.0053270661575773e-223
96,0.033817183030535596,0.22503313907357209,0.28989615994042534,0.14042115896340623,0.003795314666581281,1.2080436057762525e-299
97,0.028353846351304286,0.24713455772058746,0.9211374945836601,0.12566076553473762,0.0032070973900948374,0.0
98,0.022529129576248235,0.14024180148884083,0.8723475370136149,0.10560530808429003,0.002881397720608578,4.4563152944748395e-294
99,0.03963814972683375,0.15907925517608512,0.2215167047318706,0.148765066998611,0.004117726855995625,8.256518393203591e-286
100,0.010081360354446588,0.10557755064758087,0.34433142745261525,0.04991678526748061,0.0020069033454811367,1.4751577332964756e-136
101,0.03533800409531686,0.11419627109517058,0.06696228375605395,0.14217439668248413,0.003609548595357273,0.0
102,0.042224529547139074,0.1835852583877117,0.4787918615940445,0.16594321242669902,0.004181732090524357,0.0
103,0.04162465001888988,0.21307182370245276,0.7578315529676258,0.15922277748556682,0.004096888060698245,0.0
104,0.0480271437641967,0.15244707890018222,0.27631120004503734,0.18184508410250655,0.004662276711529438,0.0
105,0.03642825930818131,0.24846002079478582,0.9103935557945497,0.14371305335363155,0.003684823017607956,0.0
106,0.01850880468823907,0.17966421916155495,0.3094140398011088,0.08929747884489721,0.002533468592272538,3.797451672018808e-272
107,0.01378547681880797,0.12678735554058934,0.46270299799819137,0.06955638881041787,0.00213775922856374,3.1920591107343945e-232
108,0.013482666961505256,0.12154469866481199,0.6673349406528799,0.06699246457763477,0.0020384501810944153,7.090855900090681e-237
109,0.023251212742972583,0.14975606801921246,0.6392623936300915,0.10702997186766425,0.002742019755416358,0.0
110,0.01079294634870807,0.17514331497941837,0.09598065768279106,0.05038613497527527,0.0020086092368790287,7.234898137063202e-139
111,0.025634009345755528,0.11600619380106443,0.8841832122516311,0.11805178142177568,0.003163534541566505,8.890089117825295e-305
112,0.02333335043293725,0.12415826391927462,0.6520984543862186,0.10691154881418773,0.0029162585109661888,3.1111053496681552e-294
113,0.015267346662009558,0.22111461519778736,0.23500920809194215,0.07199113250176592,0.002218186745262792,4.6125633277920744e-231
114,0.024666805043915628,0.11195206009393201,0.3175932299144023,0.10803900740124918,0.0029314969835820127,2.472607979752121e-297
115,0.020706314992942405,0.16096030627126554,0.09985307312431418,0.09476979630861444,0.0027705749196059786,1.9809326958968534e-256
116,0.026589916237673927,0.2106999859629221,0.4360370727033538,0.11950702843743909,0.003071206033926201,0.0
117,0.042262213385291854,0.22917532277166017,0.11724096678272342,0.16780497360649874,0.004361922983649336,0.0
118,0.023377244392851798,0.12994426420941135,0.023696795499202866,0.1039286947147916,0.0029716879230042583,5.80075696164013e-268
119,0.049180675803548214,0.10329022872202112,0.7271611425324181,0.19580456285455886,0.005084603356927099,0.0
120,0.0307001964478014,0.207968941489227,0.5689730057605739,0.13271236541896184,0.0035229528031852225,1.4952933644451e-310
121,0.01623099408669435,0.1731038837389658,0.6042994749153451,0.07901158464791026,0.0024009385513877437,1.654410047463925e-237
122,0.04587511322203579,0.24297598286495636,0.08810842293978327,0.1737758472959555,0.004637984098542711,3.0625902255492683e-307
123,0.03780448446835713,0.24501668882891767,0.19579902287177078,0.15433182699741438,0.004190514005588691,6.37722756514889e-297
124,0.04118159200992549,0.11564874488842182,0.233352944987716,0.16299734391313703,0.004331408493830912,6.57070815850806e-310
125,0.03499231106977346,0.18065124536267219,0.7675641457215431,0.15242914332544122,0.0038010486336107407,0.0
126,0.04230666878600031,0.20990246746284805,0.294382682935156,0.16396358045925508,0.004261707426922802,0.0
127,0.013008377106896257,0.16055539139405134,0.24664866256585388,0.06698606042009361,0.0022235310836833896,2.213818156220219e-199
128,0.03925621085090812,0.17861387943253693,0.9334918911246877,0.15501566795461302,0.004108873431244122,0.0
129,0.01710786947830282,0.150500690960212,0.7159617704255996,0.0863353566837183,0.002402184990702636,7.163272795351803e-283
130,0.03089974921837263,0.1496372246940624,0.03946926482593386,0.1288336866717373,0.0034536680523180345,1.4435264453309958e-304
131,0.02160699252044032,0.17447557697678134,0.908779167261601,0.10333543576348478,0.0026732298743151295,0.0
